0d,0.46
1m,0.743
2m,0.9038
3m,0.9319
6m,1.0987
9m,1.2144
1y,1.2257
2y,1.5719
3y,1.6271
5y,2.0293
7y,2.4595
10y,2.559
15y,3.0269
20y,3.1136
30y,3.306
40y,3.3454
50y,3.36
